step,tag,value
42000,Self-play/ELO,1196.703369140625
42000,Self-play/ELO,1190.938232421875
42000,Self-play/ELO,1189.0501708984375
43000,Self-play/ELO,1191.6727294921875
43000,Self-play/ELO,1194.832763671875
43000,Self-play/ELO,1196.5838623046875
43000,Self-play/ELO,1195.307861328125
43000,Self-play/ELO,1196.7364501953125
44000,Self-play/ELO,1191.6727294921875
44000,Self-play/ELO,1194.832763671875
44000,Self-play/ELO,1192.8875732421875
44000,Self-play/ELO,1190.938232421875
45000,Self-play/ELO,1194.4122314453125
45000,Self-play/ELO,1194.8397216796875
45000,Self-play/ELO,1192.8875732421875
45000,Self-play/ELO,1195.127685546875
45000,Self-play/ELO,1196.7364501953125
45000,Self-play/ELO,1190.938232421875
46000,Self-play/ELO,1196.64208984375
46000,Self-play/ELO,1193.5101318359375
46000,Self-play/ELO,1194.8397216796875
46000,Self-play/ELO,1192.8875732421875
46000,Self-play/ELO,1195.23876953125
46000,Self-play/ELO,1196.7364501953125
47000,Self-play/ELO,1196.64208984375
47000,Self-play/ELO,1194.8397216796875
47000,Self-play/ELO,1196.5838623046875
47000,Self-play/ELO,1196.7364501953125
47000,Self-play/ELO,1190.938232421875
47000,Self-play/ELO,1187.623046875
48000,Self-play/ELO,1193.0283203125
48000,Self-play/ELO,1196.5838623046875
48000,Self-play/ELO,1191.4544677734375
49000,Self-play/ELO,1196.64208984375
49000,Self-play/ELO,1191.6727294921875
49000,Self-play/ELO,1193.0283203125
49000,Self-play/ELO,1194.8397216796875
49000,Self-play/ELO,1190.6256103515625
49000,Self-play/ELO,1194.0740966796875
49000,Self-play/ELO,1195.757080078125
49000,Self-play/ELO,1190.938232421875
49000,Self-play/ELO,1187.623046875
50000,Self-play/ELO,1191.6727294921875
50000,Self-play/ELO,1194.8397216796875
50000,Self-play/ELO,1190.839111328125
50000,Self-play/ELO,1194.5400390625
50000,Self-play/ELO,1190.938232421875
50000,Self-play/ELO,1187.623046875
51000,Self-play/ELO,1196.64208984375
51000,Self-play/ELO,1195.585693359375
51000,Self-play/ELO,1191.0477294921875
51000,Self-play/ELO,1192.628662109375
51000,Self-play/ELO,1193.57275390625
51000,Self-play/ELO,1190.798095703125
52000,Self-play/ELO,1192.54833984375
52000,Self-play/ELO,1194.8397216796875
52000,Self-play/ELO,1192.9326171875
52000,Self-play/ELO,1191.1075439453125
52000,Self-play/ELO,1186.873779296875
53000,Self-play/ELO,1196.64208984375
53000,Self-play/ELO,1194.8397216796875
53000,Self-play/ELO,1194.5924072265625
53000,Self-play/ELO,1190.3880615234375
53000,Self-play/ELO,1192.388916015625
53000,Self-play/ELO,1193.0137939453125
53000,Self-play/ELO,1190.396484375
53000,Self-play/ELO,1186.14453125
54000,Self-play/ELO,1191.6240234375
54000,Self-play/ELO,1192.06982421875
54000,Self-play/ELO,1194.8397216796875
54000,Self-play/ELO,1192.388916015625
54000,Self-play/ELO,1192.2645263671875
54000,Self-play/ELO,1190.470947265625
54000,Self-play/ELO,1185.2459716796875
55000,Self-play/ELO,1196.1478271484375
55000,Self-play/ELO,1191.6741943359375
55000,Self-play/ELO,1194.6317138671875
55000,Self-play/ELO,1189.405029296875
55000,Self-play/ELO,1191.51806640625
56000,Self-play/ELO,1195.6549072265625
56000,Self-play/ELO,1192.06982421875
56000,Self-play/ELO,1194.4190673828125
56000,Self-play/ELO,1194.224365234375
56000,Self-play/ELO,1192.388916015625
56000,Self-play/ELO,1190.4052734375
56000,Self-play/ELO,1184.734130859375
57000,Self-play/ELO,1191.6741943359375
57000,Self-play/ELO,1194.483154296875
57000,Self-play/ELO,1188.27685546875
57000,Self-play/ELO,1192.388916015625
57000,Self-play/ELO,1190.0352783203125
57000,Self-play/ELO,1190.4739990234375
58000,Self-play/ELO,1195.6549072265625
58000,Self-play/ELO,1191.6741943359375
58000,Self-play/ELO,1191.5926513671875
58000,Self-play/ELO,1194.483154296875
58000,Self-play/ELO,1187.7635498046875
58000,Self-play/ELO,1192.388916015625
58000,Self-play/ELO,1190.0352783203125
58000,Self-play/ELO,1189.9769287109375
58000,Self-play/ELO,1184.752685546875
59000,Self-play/ELO,1195.6549072265625
59000,Self-play/ELO,1191.6741943359375
59000,Self-play/ELO,1194.1204833984375
59000,Self-play/ELO,1193.528076171875
59000,Self-play/ELO,1192.388916015625
59000,Self-play/ELO,1188.8101806640625
59000,Self-play/ELO,1184.0238037109375
60000,Self-play/ELO,1195.6549072265625
60000,Self-play/ELO,1191.6741943359375
60000,Self-play/ELO,1191.127685546875
60000,Self-play/ELO,1187.3092041015625
60000,Self-play/ELO,1191.3935546875
60000,Self-play/ELO,1187.10546875
60000,Self-play/ELO,1189.6220703125
61000,Self-play/ELO,1191.6741943359375
61000,Self-play/ELO,1192.7862548828125
61000,Self-play/ELO,1185.8818359375
61000,Self-play/ELO,1188.7977294921875
